,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accession_number,TANS760101,TANS760102,BRYS930101,THOP960101,MIRL960101,VENM980101,BASU010101,MIYS850102,MIYS850103,MIYS960101,MIYS960102,MIYS960103,MIYS990106,MIYS990107,LIWA970101,KESO980101,KESO980102,MOOG990101,BETM990101,TOBD000101,TOBD000102,KOLA930101,SKOJ970101,SKOJ000101,SKOJ000102,BONM030101,BONM030102,BONM030103,BONM030104,BONM030105,BONM030106,MICC010101,SIMK990101,SIMK990102,SIMK990103,SIMK990104,SIMK990105,ZHAC000101,ZHAC000104,ZHAC000106
DH,-4.3,32,-0.270,-0.06,-0.39,-0.03380,-0.0749,-2.14,-0.40,-2.32,-0.47,3603,-0.10,-0.27,-2.70,-2.93,0.00,0.06,-0.22,0.63,-0.07,-1.0,-0.1,-0.2,-0.4,-0.3,-0.6,-1.0,5.2,5.8,5.5,-0.002501,-0.47402,-0.51082,-0.12234,0.01351,-0.00685,-0.09,-1.44,0.29
CH,-5.6,11,-0.187,-0.82,-0.19,-0.03699,-0.0701,-3.63,-0.20,-3.60,-0.02,1209,-0.36,-0.02,-3.87,-4.79,-0.64,0.00,-0.19,-2.34,-0.66,-1.2,0.1,-0.2,-1.4,-1.2,-1.1,-1.3,5.4,5.9,6.0,0.054553,0.24383,-0.08947,-0.05122,-0.06586,-0.00424,-1.21,-2.31,-0.83
QH,-4.7,17,0.247,0.05,-0.02,0.0522,-0.0125,-1.85,-0.03,-1.98,0.03,1332,0.15,0.02,-2.48,-4.20,-0.31,0.01,0.22,0.83,-0.60,0.9,0.1,-0.1,-0.5,-0.1,-0.2,-0.9,5.2,6.2,6.8,0.005803,-0.03046,-0.13022,-0.07235,-0.00106,-0.00218,0.43,-1.04,0.83
EH,-4.5,24,0.072,-0.53,-0.45,-0.1188,-0.0827,-2.27,-0.46,-2.15,-0.35,2800,0.00,-0.19,-2.49,-3.15,-0.10,0.14,-0.11,-0.17,1.27,-0.9,0.1,-0.1,-0.3,0.0,-0.4,-1.0,5.5,5.7,5.8,-0.007232,-0.10674,-0.38576,-0.08473,0.01615,-0.00352,-0.09,-1.17,0.74
GH,-4.7,40,0.127,0.00,0.20,0.0876,0.0979,-1.94,0.19,-2.15,0.05,3425,0.00,0.04,-2.77,-2.47,0.01,0.08,0.23,0.19,0.42,0.3,0.7,0.7,0.3,0.5,0.4,0.3,4.5,5.4,5.3,-0.000951,0.08603,-0.17065,-0.00788,-0.08543,-0.00394,-0.42,-2.08,0.53
HH,-4.9,8,0.392,0.14,-0.29,-0.02649,0.0005,-2.78,-0.30,-3.05,-0.48,1224,-0.40,-0.36,-3.27,-3.08,0.38,0.03,-0.33,-3.30,-2.26,-1.4,-0.8,-0.6,-1.2,-0.9,-1.0,-1.5,5.3,6.0,6.2,0.001314,-0.23317,-0.55055,-0.36006,-0.11699,-0.02024,-0.40,-1.69,0.28
AI,-5.9,119,-0.535,-0.64,-0.22,-0.10044,-0.0737,-4.41,-0.22,-4.58,-0.14,16465,-0.37,-0.07,-4.18,-4.45,-0.08,-0.10,-0.35,-0.79,-0.85,-0.6,-0.6,-0.3,-0.3,-0.4,-0.1,-0.4,5.2,5.5,5.5,-0.002119,-0.22176,-0.03193,-0.10028,-0.04417,-0.00746,-2.09,-3.27,-0.45
RI,-6.2,33,-0.014,-0.08,0.42,0.0338,-0.0266,-3.33,0.42,-3.63,0.35,4065,0.00,0.20,-3.42,-4.29,0.37,0.10,0.18,0.31,-0.22,0.4,-0.2,-0.2,-0.2,-0.4,-0.2,-0.6,5.9,6.1,6.2,0.001034,0.33584,0.34774,0.19111,0.06128,0.01401,-0.77,-1.41,0.05
NI,-5.8,51,0.456,0.39,0.53,0.04248,0.1485,-2.99,0.54,-3.24,0.55,3331,0.14,0.32,-3.13,-3.42,0.16,-0.05,0.55,0.48,0.22,0.7,0.5,0.4,0.2,0.7,0.7,0.2,5.3,5.7,5.3,0.002317,0.38282,0.49079,0.16954,0.02517,0.01338,-0.84,-1.41,0.40
DI,-5.4,43,0.229,0.04,0.59,0.01813,0.1892,-2.91,0.59,-3.17,0.54,4318,0.22,0.31,-3.09,-3.46,0.54,-0.24,0.54,0.19,-0.18,0.6,0.5,0.6,0.5,0.9,0.9,0.4,5.7,5.6,6.0,0.002659,0.44972,0.64069,0.17048,0.00868,0.01451,-0.65,-1.28,0.47
CI,-7.3,33,-0.415,-0.48,0.16,-0.00256,-0.2235,-5.03,0.16,-5.50,-0.06,3830,-0.64,-0.04,-4.90,-5.53,-0.30,0.00,-0.48,-0.26,-1.02,-1.1,-0.5,-0.5,-0.8,-0.2,-0.2,-0.8,5.2,5.5,5.9,0.002965,0.12534,0.08276,0.00854,0.04323,-0.00508,-2.99,-3.73,-1.27
QI,-5.9,29,0.020,-0.39,0.36,0.0548,-0.0480,-3.22,0.36,-3.67,0.20,3772,-0.01,0.12,-3.30,-4.65,0.33,0.15,0.14,0.31,0.66,0.3,0.1,0.0,-0.1,0.3,0.7,0.0,5.4,5.7,6.0,-0.001875,0.20555,0.31459,0.13563,0.04162,0.01197,-1.00,-1.45,0.24
EI,-5.7,35,0.385,-0.20,0.35,0.0500,0.1103,-3.23,0.34,-3.27,0.39,4498,0.17,0.24,-3.11,-3.99,0.13,-0.28,0.38,-0.47,0.31,0.4,0.4,0.3,0.3,0.7,0.8,0.2,5.6,5.9,5.9,0.007647,0.21945,0.51696,0.14349,0.03018,0.01407,-0.52,-1.48,0.70
GI,-6.3,109,0.127,0.40,0.25,0.0339,0.1174,-3.65,0.24,-3.78,0.28,9071,-0.13,0.17,-3.61,-3.50,0.05,-0.20,0.21,0.31,-0.04,0.3,0.4,0.5,0.4,0.2,0.3,0.1,5.5,5.1,5.2,0.000446,0.36527,0.27635,0.02672,0.00072,0.00567,-2.15,-2.93,0.01
HI,-6.6,27,-0.062,-0.52,0.49,-0.00602,-0.0326,-3.76,0.48,-4.14,0.29,2525,-0.13,0.17,-3.74,-4.55,-0.02,0.24,0.19,-0.37,-0.31,-0.2,-0.1,0.0,-0.3,-0.8,-0.5,-0.7,5.9,5.9,6.3,-0.000476,0.10553,0.51369,0.16715,0.06119,0.01233,-1.18,-1.86,-0.21
II,-8.2,81,-0.051,-0.71,-0.22,-0.0449,-0.5852,-6.22,-0.22,-6.54,-0.25,8432,-0.74,-0.18,-5.29,-5.97,-0.37,-0.20,-0.60,-0.27,-1.10,-0.8,-1.4,-1.1,-1.1,-0.5,-0.3,-1.0,5.8,6.2,6.4,0.006801,-0.3170,-0.38531,-0.12746,-0.03438,-0.02696,-2.72,-3.5,-1.04
AL,-4.8,174,-0.245,-0.57,-0.01,-0.00789,-0.1711,-3.96,-0.01,-4.91,-0.08,24837,-0.38,-0.04,-4.06,-5.02,-0.09,0.01,-0.37,-0.13,-0.72,-0.4,-0.3,-0.1,-0.1,-0.4,-0.2,-0.4,5.2,5.5,5.4,0.000864,-0.15025,0.01865,-0.08988,-0.02847,-0.00482,-1.89,-3.29,-0.25
RL,-5.1,47,0.374,-0.10,0.35,0.0164,-0.0651,-3.15,0.36,-4.03,0.34,6653,-0.04,0.20,-3.24,-5.01,0.21,0.07,0.09,0.28,-0.04,0.2,-0.1,-0.2,-0.2,-0.4,-0.4,-0.6,5.8,6.1,6.0,-0.001302,0.19784,0.31116,0.18513,0.01866,0.01049,-0.63,-1.18,0.26
NL,-4.6,63,0.430,-0.10,0.30,0.01271,0.0890,-2.99,0.30,-3.74,0.44,5751,0.04,0.26,-3.09,-3.94,0.23,-0.29,0.36,1.17,-0.19,0.5,0.4,0.3,0.3,0.8,0.6,0.2,5.7,5.9,5.8,-0.000605,0.35359,0.49954,0.12818,0.02276,0.01113,-0.63,-1.45,0.37
DL,-4.3,60,0.316,0.50,0.67,0.02074,0.2673,-2.59,0.67,-3.40,0.70,5729,0.27,0.40,-2.84,-4.16,0.41,-0.21,0.62,0.41,1.12,0.8,0.7,0.6,0.5,1.0,0.8,0.5,5.5,5.6,5.6,0.000585,0.38200,0.67107,0.14879,0.00746,0.01230,-0.31,-1.26,0.57
CL,-6.2,49,-0.061,-0.69,-0.08,0.07471,-0.1305,-5.03,-0.08,-5.83,0.00,5395,-0.65,-0.01,-4.72,-6.13,-0.34,0.09,-0.50,-0.25,-0.24,-0.5,-0.4,-0.5,-0.6,-0.4,-0.4,-0.9,5.5,5.7,5.7,-0.000196,0.10747,0.03309,-0.00733,0.00556,-0.00648,-2.74,-3.63,-1.25
QL,-5.0,53,0.391,-0.13,0.26,0.0215,-0.0172,-3.09,0.25,-4.04,0.22,6091,-0.04,0.13,-3.17,-5.36,0.17,0.02,0.08,-0.22,0.10,0.4,0.2,0.0,0.0,0.3,0.4,-0.2,5.8,5.9,5.6,-0.004168,0.07523,0.32215,0.12921,-0.00516,0.00870,-0.64,-1.38,0.38
EL,-4.6,53,0.480,-0.05,0.43,0.0173,0.0802,-2.91,0.42,-3.59,0.46,6706,0.17,0.28,-2.85,-4.35,0.34,-0.29,0.37,-0.05,0.99,0.7,0.6,0.4,0.4,0.7,0.8,0.2,5.8,5.5,5.7,-0.000453,0.19892,0.47591,0.14917,-0.02856,0.01041,-0.22,-1.23,0.82
